Year,Week,Age,Gender,R-value,1rst_Vac,2nd_Vac,Booster,Intensive_Care,Cases,Deaths,Incidence,Hospitalization,Lockdown-Intensity,Date
2021.0,4.0,46.56842332013181,0.46343544220138,0.89,1.766440069826175,0.7233888755328522,0.0,4337.0,4198.0,437.42857142857144,94.00962695547533,11101.523809523807,3,2021-01-31
2021.0,4.0,46.43806701869971,0.4645963764678191,0.89,1.8365284869225087,0.7978223318052117,0.0,4313.0,5860.0,421.7142857142857,92.94584837545126,10844.38095238095,3,2021-02-01
2021.0,4.0,46.307710717267604,0.46585697663671827,0.9,1.9153563031367347,0.8787480849859349,0.0,4252.0,12299.0,395.2857142857143,89.08303249097473,10576.0,3,2021-02-02
2021.0,4.0,46.1773544158355,0.4672172427080776,0.89,1.9930413211180633,0.9971119082763674,0.0,4207.0,13410.0,370.14285714285717,86.1841155234657,10328.952380952382,3,2021-02-03
2021.0,5.0,45.89164013012122,0.46867717468189707,0.89,2.06771175765556,1.084320645847008,0.0,4170.0,11507.0,364.85714285714283,83.96149217809868,10061.333333333334,3,2021-02-04
2021.0,5.0,45.76128382868911,0.4701383474067638,0.89,2.151148058112132,1.1783645197958819,0.0,4066.0,9999.0,341.57142857142856,80.88086642599278,9822.095238095239,3,2021-02-05
2021.0,5.0,45.63092752725699,0.4716007608826777,0.89,2.206003576236702,1.2367699301154822,0.0,3958.0,8387.0,332.0,79.01323706377858,9585.523809523811,3,2021-02-06
2021.0,5.0,45.50057122582489,0.47306441510963876,0.88,2.2400373105578857,1.2671779866746118,0.0,3926.0,3091.0,319.57142857142856,77.68110709987967,9383.142857142857,3,2021-02-07
2021.0,5.0,45.37021492439278,0.474529310087647,0.88,2.303841540318794,1.335049375199125,0.0,3951.0,4184.0,309.14285714285717,75.66425992779783,9179.047619047618,3,2021-02-08
2021.0,5.0,45.23985862296068,0.47599544581670244,0.88,2.3763033689030286,1.4244691266140446,0.0,3840.0,9094.0,296.57142857142856,71.80746089049339,8966.857142857143,3,2021-02-09
2021.0,5.0,45.10950232152857,0.47746282229680503,0.89,2.4698636587575606,1.5179668633021444,0.0,3732.0,10277.0,277.0,68.03730445246691,8732.380952380952,3,2021-02-10
2021.0,6.0,44.966645178671435,0.47893143952795486,0.91,2.560738974237539,1.6009436385745408,0.0,3668.0,9357.0,257.7142857142857,65.45006016847172,8516.190476190477,3,2021-02-11
2021.0,6.0,44.836288877239326,0.4803450298297647,0.94,2.657276554225145,1.6923145676039437,0.0,3546.0,8534.0,249.28571428571428,63.687123947051745,8258.47619047619,3,2021-02-12
2021.0,6.0,44.70593257580722,0.48170359320223444,0.97,2.731921728906967,1.747408268939159,0.0,3479.0,5597.0,238.28571428571428,60.32972322503009,8013.619047619047,3,2021-02-13
2021.0,6.0,44.57557627437511,0.48300712964536424,0.99,2.7795944594014013,1.7784827573098938,0.0,3417.0,3761.0,239.0,61.13598074608905,7750.095238095238,3,2021-02-14
2021.0,6.0,44.445219972943,0.48425563915915404,1.01,2.8640087545562314,1.8454350954660563,0.0,3426.0,4381.0,232.0,61.373044524669076,7508.285714285715,3,2021-02-15
