Date,Year,Week,Age,Gender,R-value,1rst_Vac,2nd_Vac,Intensive_Care,Cases,Deaths,Incidence,Hospitalization,Lockdown-Intensity
2021-02-24,2021.0,7.0,43.36173094816444,0.47971581328071794,1.01,3680855.0,1999419.0,5900,9079,190.42857142857142,66.84957882069796,20288,3
2021-02-25,2021.0,8.0,43.07601666245016,0.47990070049010336,1.01,3811803.0,2058774.0,5782,8421,183.28571428571428,66.93622141997594,20252,3
2021-02-26,2021.0,8.0,42.933415101133725,0.48009090995033377,1.0,3958216.0,2126408.0,5682,8824,176.71428571428572,67.45968712394705,19924,3
2021-02-27,2021.0,8.0,42.79069875888602,0.4802864581979329,1.0,4066512.0,2166215.0,5640,7769,174.0,67.4043321299639,19832,3
2021-02-28,2021.0,8.0,42.64798245320283,0.4804873607958922,1.02,4145797.0,2190407.0,5668,5908,171.42857142857142,68.04211793020457,19608,3
2021-03-01,2021.0,8.0,42.505379612320084,0.48069363232389134,1.02,4295129.0,2240418.0,5724,8146,166.0,68.74368231046931,19396,3
2021-03-02,2021.0,8.0,42.363002095402074,0.48090528636851887,1.04,4463040.0,2292670.0,5698,9462,160.57142857142858,69.32490974729242,19196,3
2021-03-03,2021.0,8.0,42.22096001272964,0.481122335513493,1.05,4640780.0,2363460.0,5632,9808,154.57142857142858,70.20216606498195,18988,1
2021-03-04,2021.0,9.0,41.93524572701536,0.48132554354831775,1.06,4823312.0,2426803.0,5610,9137,150.0,71.06377858002406,18572,1
2021-03-05,2021.0,9.0,41.794196949083656,0.4815341688031967,1.08,5031454.0,2494247.0,5512,9511,149.14285714285714,71.8904933814681,18140,1
2021-03-06,2021.0,9.0,41.653801644821165,0.4817482207945608,1.1,5185562.0,2542986.0,5492,8692,149.28571428571428,73.00120336943442,17892,1
2021-03-07,2021.0,9.0,41.51416113085679,0.4819677079968532,1.12,5299921.0,2576506.0,5558,6746,150.14285714285714,74.00962695547533,17828,1
2021-03-08,2021.0,9.0,41.375374075876984,0.4821926378327498,1.14,5486312.0,2628372.0,5714,9511,150.14285714285714,75.65222623345367,17764,1
2021-03-09,2021.0,9.0,41.23753632081383,0.48242301666338033,1.15,5684362.0,2683336.0,5552,11200,149.28571428571428,77.74368231046931,17528,1
2021-03-10,2021.0,9.0,41.10074069903338,0.4826588497785487,1.17,5906826.0,2750800.0,5454,12564,153.28571428571428,81.06016847172081,17604,1
2021-03-11,2021.0,10.0,40.957883556176235,0.4828551019909743,1.17,6131020.0,2811765.0,5496,12158,159.0,84.69554753309266,17768,1
2021-03-12,2021.0,10.0,40.82343777173576,0.4830568158144509,1.17,6387536.0,2882887.0,5494,12644,162.14285714285714,88.46570397111914,18448,1
2021-03-13,2021.0,10.0,40.690292777161346,0.483263993266129,1.17,6578396.0,2933279.0,5426,11608,162.57142857142858,91.97472924187726,18820,1
2021-03-14,2021.0,10.0,40.55852757743652,0.4834766352527161,1.17,6713144.0,2968980.0,5534,9197,164.42857142857142,94.92418772563177,19240,1
